compiler,repository,commit_or_version,supported_remote_primitives,decision_being_made,optimization_objective,uses_epr_count,uses_latency,uses_physical_fidelity,uses_logical_error_rate,can_choose_teledata_vs_telegate,can_choose_ft_interface_protocol,choice_depends_on_qec_code_or_distance,choice_depends_on_network_error_parameters,evidence,executed_path_verified
DQC-NAC,https://github.com/qslab-unipr/dqcnac,564ae1bd2205c678fd1c1af6ea3784866a9308aa (v0.3.0),TeleGate via CatEnt/CatDisEnt ('migration'); TeleData via Teleport; physical (non-FT) qubits,"Per non-local gate (ungrouped path only): teleport the state vs cover it with cat-entanglement, with a look-ahead compile of the remaining circuit; default grouped path: cat-entanglement only",Consumed ebits: circuit_cost adds len(qargs[1:])//2 per Teleport/CatEnt; teleport chosen iff tel_cost < mig_cost (ties go to migration),yes,no (per-qubit times only order operations),no (no noise parameter in network/device configs; README says 'noise aware' but no noise enters any decision; Qoala parser sets fidelity=1.0),no,"yes, only with use_gate_grouping=False; the default CompileManager.run(use_gate_grouping=True) never evaluates teleportation",no,no,no,"nonlocal_gate_schedule.py:112-127 (circuit_cost), :341-363 (grouped path -> compile_multi_gate, CatEnt only), :388-406 (get_teleport, migration compile, tel_cost < mig_cost), :848 (teleport look-ahead cost); compile_manager.py:47-48 (defaults use_tel=True, use_gate_grouping=True)","yes: experiments/ftprim/probe_dqcnac.py instruments circuit_cost/get_teleport/compile_multi_gate and parses the scheduler's own 'TEL COST/MOG COST' log on 6 bundled benchmarks x 2 paths (results/ft_primitive_go_nogo/DQCNAC_PROBE.json): grouped path 0 teleport evaluations; ungrouped path 12 decisions, 3 teleports chosen, every decision an ebit comparison"
memQ DQC,https://github.com/memQGit/dqc,f3a6b96a69d028282a9bec60c8543661e87b0e7f,TeleGate (cat-ent / remote gate / cat-disent) inside a window; TeleData as remote swaps (two state teleportations) between windows,Per window: accept a new KL partition (qubit movement) or keep the previous one; the mechanism follows from the partition (cross-QPU gate -> cat-ent TeleGate; placement change -> rswap),E-bit pairs: crossing edges x remote_gate_ebit_cost + movement_cost (remote_swap_ebit_cost = 2 per hop); candidate accepted iff cost <= previous cost,yes,no in decisions (the separate DES scheduler times a fixed schedule using entanglement success probability),no (noise_models exist only in the network config schema; Hellinger fidelity only in verify()),no,"implicitly, through the ebit-weighted partition/movement trade-off",no,no,no,"partition/interaction/interaction.py:138-141,197-212; utils/circuit_utils.py:126-181 (movement_cost via remote_swap_ebit_cost); network/network_graph.py:463-493; circuit/dag/routing.py:137-179 (rswap and cat-ent emission)",source trace of the Interaction partitioner path used by the compiler; control-flow behaviour of this repo was executed in the previous (closed) study
Chipmunq,https://github.com/Wegii/chipmunq,324ef3d3a9f3a813935ae96cba3680875de9deed,Physical SWAP routing of surface-code syndrome circuits across inter-chiplet couplers (no logical TeleGate/TeleData choice),Which inter-chiplet coupler (path) routes each cross-chiplet physical two-qubit gate,len(path) + alpha x coupler physical error + beta x coupler utilization,no,path length only,yes (inter-chiplet link error),"no (LER is measured after compilation, not used in decisions)",no,no,patch-preserving partitioning only; not in the routing cost,yes (physical link error),qeccm/src/router.py:205-320 (_global_routing path cost),source trace
CUDA-Q Logical,https://github.com/NVIDIA/cuda-quantum (cudaq-logical wheel on PyPI),cudaq-logical 0.1.1.post1,"Lowering library with gate-teleportation, lattice-surgery and distributed live-patch measurement constructions",Which QEC lowering realises each logical site / distributed placement,None: first feasible capability-matching candidate (feasible[0]; candidates[0] for distributed placement); several lowerings for one communication site raise 'selection is ambiguous',no,no,no,no in selection (resource/LER estimators exist but are not consulted),no,no (ambiguity is an error),capability matching only,no,"cudaq/logical/compiler/qec_lower.py:1626-1646 (_select_support_lowerings), :2302-2313 ('a policy can later compare cost/evidence'; selected = feasible[0])",source trace of the installed wheel
pytket-dqc,https://github.com/CQCL/pytket-dqc,1ac175ed820ac02366b2ed71b653d5b96fc72ff7,"TeleGate via starting/ending processes (cat-ent), with embedding; physical qubits",Hypergraph partition and gate distribution / embedding,Number of ebits (Distribution.cost),yes,no,no,no,no (TeleGate only),no,no,no,src/pytket_dqc/circuits/distribution.py:117-128,source trace
QuPort,quport (cloned in the previous study),6e41c8c076f1ed54d626ea01c90fab994d5d95de,Teleportation-based remote gates (fixed),Partition / layout,Latency proxy: remote_2q x (epr_gen + classical_rtt + remote_gate_overhead) + local costs,through latency,yes,no,no,no,no,no,no,src/quport/cost.py:30-60,source trace
NetQMPI,netqmpi (cloned in the previous study),2524443adf52bd6de9ab6b6b2925a096ae8db454,"qsend/qrecv (teleportation) and expose (cat-entanglement), chosen by the programmer",None (programming interface),n/a,no,no,no,no,programmer chooses,no,no,no,netqmpi/sdk/communicator.py:105-170,source trace
"Labubu (Xu, Liu, Mao, Yang, IEEE ToN 2026)",no public artifact found (GitHub search),paper only,Hybrid TeleGate / TeleData (abstract),Remote-gate scheduling and bundling,Entanglement overhead / scheduling latency (abstract),yes (abstract),yes (abstract),not stated,not stated,yes (abstract),no FT setting stated,no QEC setting stated,not stated,IEEE Xplore 11488377 abstract (full text not reachable from this environment),not possible (no code)
"AutoComm (Wu et al., MICRO 2022)",no inspectable artifact located,paper,"Cat-Comm (TeleGate, burst-shared EPR) and TP-Comm (TeleData)",Communication scheme per burst of remote gates,EPR count and latency of the burst,yes,yes,no,no,yes,no (NISQ),no,no,arXiv:2207.11674 abstract,not possible
"TMCBS (Stack, Wang, Mueller; Nat. Commun. 17, 8838, 2026) - simulator, not a compiler",https://github.com/basilthebeagles/tmcbs,c0490fa63965d8984cca89deb8826c19c46e8a3c,"Transversal non-local CNOT (n ebits), logical teleportation (Bell pair via one non-local CNOT: n ebits), local baselines, PPM compute steps; surface and BB codes",None automated; the paper recommends non-local CNOTs and teleportation only when it removes on the order of 10 non-local gates,n/a (per-primitive LER characterisation),reported,ebit decoherence study,p and p_ebit inputs,measured,no (fixed rule of thumb in text),no,no automated choice,no automated choice,"tmcbs/experiments.py (non_local_cnot, teleportation); paper text quoted via search snippets",circuits run locally (this study's LER source)
